Production process,Disturbances,Freshwater ecosystem use,GHG emissions,Marine ecosystem use,Non-GHG air pollutants,Other resource use,Soil pollutants,Solid waste,Terrestrial ecosystem use,Water pollutants,Water use
Small-scale irrigated arable crops,0.0,0.8,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.6,0.8
Small-scale livestock (beef and dairy),0.0,0.0,0.8,0.0,0.0,0.0,0.6,0.0,1.0,0.6,0.8
Small-scale rainfed arable crops,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,1.0,0.6,0.0
Solar energy provision,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.4,1.0
Solids processing,0.0,0.0,0.8,0.0,0.6,0.0,0.8,0.0,0.0,0.8,0.0
Steel production,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.8
Synthetic fertilizer production,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.4,0.8
Synthetic fibre production,0.0,0.0,0.0,0.0,0.8,0.0,0.6,0.8,0.0,0.6,0.8
Synthetic fibre production,0.0,0.0,0.0,0.0,0.8,0.0,0.6,0.8,0.0,0.6,0.8
Telecommunication and wireless services,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.8,0.4,0.0
Telecommunication and wireless services,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.8,0.4,0.0
Tobacco production,0.0,0.0,0.8,0.0,0.0,0.4,0.8,0.0,1.0,0.8,0.8
Tyre and rubber production,0.8,0.0,0.8,0.0,0.6,0.0,0.6,0.8,0.0,0.6,0.8
Vulcanisation,0.0,0.0,0.8,0.0,0.8,0.0,0.4,0.8,0.0,0.4,0.8
"Water services (e.g. waste water, treatment and distribution)",0.0,0.8,0.0,0.0,0.0,0.0,0.4,0.0,0.8,0.4,0.8
Wind energy provision,0.6,0.6,0.0,0.8,0.0,0.0,0.4,0.0,0.8,0.4,0.0
