Sector,Sub-Industry,Production process,Disturbances,Freshwater ecosystem use,GHG emissions,Marine ecosystem use,Non-GHG air pollutants,Other resource use,Soil pollutants,Solid waste,Terrestrial ecosystem use,Water pollutants,Water use
Materials,Forest Products,Production of forest and wood-based products,NA,NA,H,NA,NA,NA,H,NA,H,H,NA
Consumer Discretionary,Leisure Products,Production of leisure or personal products,NA,NA,H,NA,M,NA,M,H,NA,M,H
Consumer Staples,Personal Products,Production of leisure or personal products,NA,NA,H,NA,M,NA,M,H,NA,M,H
Materials,Paper Products,Production of paper products,NA,NA,NA,NA,M,NA,H,NA,NA,H,VH
Health Care,Health Care Facilities,Provision of health care,NA,NA,H,NA,NA,NA,M,M,NA,M,NA
Industrials,Railroads,Railway transportation,H,NA,H,NA,H,NA,L,NA,NA,L,NA
Real Estate,Diversified Real Estate Activities,Real estate activities,NA,NA,H,NA,M,NA,M,H,VH,M,NA
Real Estate,Real Estate Development,Real estate activities,NA,NA,H,NA,M,NA,M,H,VH,M,NA
Real Estate,Real Estate Operating Companies,Real estate activities,NA,NA,H,NA,M,NA,M,H,VH,M,NA
Real Estate,Real Estate Services,Real estate activities,NA,NA,H,NA,M,NA,M,H,VH,M,NA
Materials,Industrial Gases,Recovery and separation of carbon dioxide,H,NA,H,NA,M,NA,L,M,NA,L,NA
Consumer Discretionary,Restaurants,Restaurant provision,NA,NA,NA,NA,NA,NA,NA,M,NA,NA,NA
Consumer Staples,Agricultural Products,Saltwater wild-caught fish,NA,NA,NA,VH,NA,H,NA,NA,NA,M,NA
Information Technology,Semiconductor Equipment,Manufacture of semiconductor equipment,NA,NA,H,NA,NA,NA,H,NA,NA,H,H
Materials,Forest Products,Small-scale forestry,NA,NA,H,NA,NA,NA,M,NA,VH,M,NA
Consumer Staples,Agricultural Products,Small-scale irrigated arable crops,NA,H,NA,NA,NA,NA,M,NA,VH,M,H
Consumer Staples,Agricultural Products,Small-scale livestock (beef and dairy),NA,NA,H,NA,NA,NA,M,NA,VH,M,H
Consumer Staples,Agricultural Products,Small-scale rainfed arable crops,NA,NA,NA,NA,NA,L,M,NA,VH,M,NA
Utilities,Renewable Electricity,Solar energy provision,NA,NA,NA,NA,NA,NA,L,NA,VH,L,VH
Materials,Specialty Chemicals,Solids processing,NA,NA,H,NA,M,NA,H,NA,NA,H,NA
Materials,Steel,Steel production,NA,NA,H,NA,NA,NA,NA,H,NA,NA,H
Materials,Fertilizers & Agricultural Chemicals,Synthetic fertilizer production,NA,NA,NA,NA,H,NA,H,NA,NA,L,H
Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Synthetic fibre production,NA,NA,NA,NA,H,NA,M,H,NA,M,H
Consumer Discretionary,Textiles,Synthetic fibre production,NA,NA,NA,NA,H,NA,M,H,NA,M,H
Telecommunication Services,Integrated Telecommunication Services,Telecommunication and wireless services,NA,NA,NA,NA,NA,NA,L,M,H,L,NA
Telecommunication Services,Wireless Telecommunication Services,Telecommunication and wireless services,NA,NA,NA,NA,NA,NA,L,M,H,L,NA
Consumer Staples,Tobacco,Tobacco production,NA,NA,H,NA,NA,L,H,NA,VH,H,H
Consumer Discretionary,Tires & Rubber,Tyre and rubber production,H,NA,H,NA,M,NA,M,H,NA,M,H
Materials,Diversified Chemicals,Vulcanisation,NA,NA,H,NA,H,NA,L,H,NA,L,H
Utilities,Water Utilities,"Water services (e.g. waste water, treatment and distribution)",NA,H,NA,NA,NA,NA,L,NA,H,L,H
Utilities,Renewable Electricity,Wind energy provision,M,M,NA,H,NA,NA,L,NA,H,L,NA
