Bank,region,sector,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality,Total
System,GB,Mining of other non-ferrous metal ores and concentrates,0,0,0,59984.59238,0,0,0,0,0,0,75234.97471,0,48261.93942,0,0,0,0,65099.7673,0,73497.5665,0,322078.8403
System,US,Manufacture of beverages,0,7310.244098,0,0,16429.79803,0,0,23869.41337,27387.66323,385.4826037,57875.07079,0,14396.15704,0,0,0,22112.57006,47590.47809,0,33668.93655,33429.53876,284455.3526
System,FR,Sea and coastal water transport,0,0,0,75313.84491,0,0,0,0,68542.25208,0,57708.12052,0,0,0,0,0,0,47075.7394,0,0,61178.62914,309818.586
System,US,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",0,15397.17993,0,0,0,0,0,16758.29368,0,811.9215898,48759.67842,0,20214.57535,0,0,0,0,53459.89505,0,47276.73177,31293.71857,233971.9944
System,US,Processing of Food products nec,0,15336.7068,0,0,11489.76659,0,0,16692.47472,19152.87439,0,40473.47712,0,10067.59084,0,0,0,6627.373059,33281.20553,0,23545.52512,23378.10829,200045.1024
System,CH,Manufacture of beverages,0,4578.405224,0,0,12392.86617,0,0,14624.62748,21052.80186,4964.944093,36503.56053,0,14154.629,0,0,0,15307.66342,33988.13123,0,20731.19855,23142.35322,201441.1808
System,CN,Manufacture of machinery and equipment n.e.c. (29),0,0,0,7895.374929,16469.09285,0,0,10553.98656,26364.35833,0,30629.35613,0,8079.841609,30649.16824,0,0,0,27175.2907,9881.308912,30344.64993,20631.72738,218674.1556
System,FR,Manufacture of beverages,0,3777.060018,0,0,9315.15743,0,0,11946.13654,15680.37544,1144.056023,29337.45952,0,8991.165551,0,0,0,12255.0682,23932.20549,0,16995.19895,18661.07098,152034.9541
System,US,Real estate activities (70),0,17331.74356,0,0,0,0,0,9431.93656,7214.775889,0,27443.02029,0,11377.20796,18233.66959,0,0,0,30088.40566,0,0,0,121120.7595
System,US,"Manufacture of fabricated metal products, except machinery and equipment (28)",0,17130.82386,0,6279.162957,12833.86128,0,0,18645.19208,21393.41397,0,27124.88476,0,5622.658358,18022.29423,0,0,0,22304.70246,8778.109732,26299.92532,17408.61583,201843.6448
System,US,Manufacture of rubber and plastic products (25),0,11904.68731,0,4363.565475,8918.608162,0,0,12957.06402,14866.88007,0,25133.11864,0,7814.684237,12524.19493,0,0,0,20666.87981,6100.153289,18276.55165,12097.7327,155624.1203
System,US,Hotels and restaurants (55),0,0,0,14930.84312,0,0,8899.036974,0,16956.7032,0,25082.79998,0,8913.186935,0,0,0,0,11786.00168,3478.823005,0,6899.149714,96946.5446
System,US,Chemicals nec,0,4218.581577,0,6185.145884,2106.950263,0,0,6122.006698,10536.54661,0,23749.99774,0,11076.94208,11834.96588,0,0,0,19529.5441,5764.45084,8635.38001,8573.979471,118334.4912
System,LU,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,0,0,0,5167.558187,0,0,0,0,0,0,21919.54473,0,6012.118888,0,0,0,0,17530.82563,0,20472.09523,0,71102.14266
System,WA,Petroleum Refinery,0,9782.967731,0,7813.285604,0,0,0,10784.5914,26885.26869,0,20340.93379,0,16396.53841,0,0,0,0,18299.49897,0,0,20916.71776,131219.8024
System,WA,Manufacture of other non-metallic mineral products n.e.c.,0,0,0,0,6327.18674,0,0,0,0,0,19923.64249,0,0,8076.430144,0,0,0,17924.0874,0,0,8195.045733,60446.39251
